iter	RMSE
560	3.656865803
561	3.654137378
562	3.651753881
563	3.64917689
564	3.645799108
565	3.641820597
566	3.638786439
567	3.63476756
568	3.631384697
569	3.628307558
570	3.6240414
571	3.622999464
572	3.621964277
573	3.620416203
574	3.618860487
575	3.618812375
576	3.615875081
577	3.613055248
578	3.611449108
579	3.606776963
580	3.60456656
581	3.60210747
582	3.600475925
583	3.599621365
584	3.597589058
585	3.59603218
586	3.59214347
587	3.588906918
588	3.586504046
589	3.583409477
590	3.58264222
591	3.580991633
592	3.578188041
593	3.577481409
594	3.577135336
595	3.574234775
596	3.573655903
597	3.572319283
598	3.566188294
599	3.561745321
600	3.560867897
601	3.56022532
602	3.558942376
603	3.556400828
604	3.555399442
605	3.554498868
606	3.553811522
607	3.550433206
608	3.547860763
609	3.54619031
610	3.543212469
611	3.540300194
612	3.537323817
613	3.536217731
614	3.533011227
615	3.532212076
616	3.53007225
617	3.528955483
618	3.528008924
619	3.526580298
620	3.524478706
621	3.522610664
622	3.521126264
623	3.519953073
624	3.518141643
625	3.516432993
626	3.515618148
627	3.513155946
628	3.510778203
629	3.508901533
630	3.506885425
631	3.505992444
632	3.505120048
633	3.500533048
634	3.499082767
635	3.497989997
636	3.493497843
637	3.489434408
638	3.488479238
639	3.484594941
640	3.482784781
641	3.479809499
642	3.478721532
643	3.476924734
644	3.474194731
645	3.471280153
646	3.470384056
647	3.468676277
648	3.465132473
649	3.461817379
650	3.458920078
651	3.457546452
652	3.456772662
653	3.45542987
654	3.452802563
655	3.448743643
656	3.447206575
657	3.444257632
658	3.442913193
659	3.439570364
660	3.437780705
661	3.436182282
662	3.433740356
663	3.432980183
664	3.43195475
665	3.428121538
666	3.427254623
667	3.424444761
668	3.423106423
669	3.421338699
670	3.41890354
671	3.415864004
672	3.414913118
673	3.41318357
674	3.412490602
675	3.409858564
676	3.40827327
677	3.404529127
678	3.401734234
679	3.399395529
680	3.397657882
681	3.394681771
682	3.392622927
683	3.389291889
684	3.386945276
685	3.383698606
686	3.382088306
687	3.38017602
688	3.378375213
689	3.376584155
690	3.374882054
691	3.373357014
692	3.370445609
693	3.369526059
694	3.367086761
695	3.366203673
696	3.362402968
697	3.360437166
698	3.359663901
699	3.355856407
700	3.353219987
701	3.349355691
702	3.346269709
703	3.34408425
704	3.343884306
705	3.341020098
706	3.340400522
707	3.339158041
708	3.336062008
709	3.333957008
710	3.329856864
711	3.327014197
712	3.323500135
713	3.32104436
714	3.318495072
715	3.315661382
716	3.312699723
717	3.311209203
718	3.310674283
719	3.307526744
720	3.305395305
721	3.304537432
722	3.302699829
723	3.300583851
724	3.297981095
725	3.295880126
726	3.294445676
727	3.293949386
728	3.292323425
729	3.291886524
730	3.289656508
731	3.288028787
732	3.28601034
733	3.283605732
734	3.281492319
735	3.277962794
736	3.275506443
737	3.271008964
738	3.269003287
739	3.268620945
740	3.266294952
741	3.265398118
742	3.263115645
743	3.261536329
744	3.261303862
745	3.260167252
746	3.25956577
747	3.259174166
748	3.258782102
749	3.257383882
750	3.256603941
751	3.256292115
752	3.256033518
753	3.25367885
754	3.251657587
755	3.24833233
756	3.24573615
757	3.244563961
758	3.243627369
759	3.243228774
760	3.240528085
761	3.23697367
762	3.236220723
763	3.234785207
764	3.233027631
765	3.232266743
766	3.229779356
767	3.22836141
768	3.227999293
769	3.224678724
770	3.221726819
771	3.218992424
772	3.218138857
773	3.217016836
774	3.216142547
775	3.213973446
776	3.212171344
777	3.210234821
778	3.208206743
779	3.206389239
780	3.204107669
781	3.202615574
782	3.200324421
783	3.197697757
784	3.195463045
785	3.195263929
786	3.193160616
787	3.19001254
788	3.187463281
789	3.186789434
790	3.183202286
791	3.182704445
792	3.181679798
793	3.180969345
794	3.179209863
795	3.177314479
796	3.174294236
797	3.173236888
798	3.171981932
799	3.171412514
800	3.169135462
801	3.167253567
802	3.166453952
803	3.164077457
804	3.163477222
805	3.161118024
806	3.160415773
807	3.15803915
808	3.15575102
809	3.152395916
810	3.14986998
811	3.148654482
812	3.146961604
813	3.146072174
814	3.144423386
815	3.14344369
816	3.142412327
817	3.140459546
818	3.137574509
819	3.135288162
820	3.134996445
821	3.132026779
822	3.129822658
823	3.126806604
824	3.125866201
825	3.125066614
826	3.122652492
827	3.121436898
828	3.118450302
829	3.115867077
830	3.114315719
831	3.113566705
832	3.112892031
833	3.112390662
834	3.112082863
835	3.110870669
836	3.107761364
837	3.1063842
838	3.105662502
839	3.10441228
840	3.102355496
841	3.101863845
842	3.099653093
843	3.099302287
844	3.098073669
845	3.095489403
846	3.094750835
847	3.092112705
848	3.090579539
849	3.089420784
850	3.087236172
851	3.085840849
852	3.082736774
853	3.081907106
854	3.080286059
855	3.078498875
856	3.077148834
857	3.074268921
858	3.073905828
859	3.071613763
860	3.070580565
861	3.068460387
862	3.066750313
863	3.065520935
864	3.064666336
865	3.064211036
866	3.062026306
867	3.061745833
868	3.060114683
869	3.058731093
870	3.056739459
871	3.055008685
872	3.052973716
873	3.052675647
874	3.0509491
875	3.050457818
876	3.050068449
877	3.047537229
878	3.046935439
879	3.045517409
880	3.044364286
881	3.042274333
882	3.041125748
883	3.038835222
884	3.038405256
885	3.038037492
886	3.037015795
887	3.034968998
888	3.034534242
889	3.030504392
890	3.030009906
891	3.029182398
892	3.028736159
893	3.027249929
894	3.025296777
895	3.024575362
896	3.024346825
897	3.023920167
898	3.023367193
899	3.021509073
900	3.020387241
901	3.018389712
902	3.016142822
903	3.014140245
904	3.011425122
905	3.010683071
906	3.008998908
907	3.008355157
908	3.006005895
909	3.00299319
910	3.000771108
911	3.00022003
912	2.99972372
913	2.998928582
914	2.997531417
915	2.996058065
916	2.994171167
917	2.991527857
918	2.990124442
919	2.988948732
920	2.988145984
921	2.987590814
922	2.986327228
923	2.984711187
924	2.984444976
925	2.9808015
926	2.980674193
927	2.978325875
928	2.976275802
929	2.975877502
930	2.975439174
931	2.974462152
932	2.972925322
933	2.971185042
934	2.968683304
935	2.966253053
936	2.965908087
937	2.964646004
938	2.962773345
939	2.961927183
940	2.959614084
941	2.957614039
942	2.954296772
943	2.953510762
944	2.950928361
945	2.94984078
946	2.947197263
947	2.946653442
948	2.945143094
949	2.942105379
950	2.940193548
951	2.939452942
952	2.937091931
953	2.935086125
954	2.933467029
955	2.932386459
956	2.930383192
957	2.929360232
958	2.926950877
959	2.92493447
960	2.924486728
961	2.923400836
962	2.921717243
963	2.919460022
964	2.917559548
965	2.917033038
966	2.915768405
967	2.915113363
968	2.914680819
969	2.911618821
970	2.910922456
971	2.90804757
972	2.904561264
973	2.902379195
974	2.901837302
975	2.901713179
976	2.900584515
977	2.898582801
978	2.89686778
979	2.896732726
980	2.894816614
981	2.894141666
982	2.8917415
983	2.889094687
984	2.888821984
985	2.886926328
986	2.885956004
987	2.883810841
988	2.883697388
989	2.881872956
990	2.87959016
991	2.878512504
992	2.877365974
993	2.87535191
994	2.87419956
995	2.87417393
996	2.872779411
997	2.872037941
998	2.869240038
999	2.868736985
